7.18715616e-01  3.45521148e-02
2.14024724e+00  -1.45629605e-03
2.75402720e+00  -9.57023235e-02
3.77908013e+00  4.00014596e-02
4.74988009e+00  -8.52552877e-02
6.04018593e+00  2.67868414e-02
7.23429979e+00  -5.77281945e-03
7.67143103e+00  7.26628998e-02
9.09054130e+00  5.32492932e-02
1.03914758e+01  -1.58232741e-02
1.07670690e+01  1.03335653e-02
1.16598243e+01  -2.81177907e-02
1.30707565e+01  -5.12833453e-02
1.39025838e+01  -1.03246235e-02
1.50017116e+01  6.18245591e-02
1.60445769e+01  -1.01336626e-02
1.73942508e+01  5.55471441e-03
1.76049852e+01  3.73926543e-02
1.93411607e+01  -6.87961526e-02
2.02271175e+01  -3.62803899e-02


